Designator,Mid X,Mid Y,Rotation,Layer
BZ1,185.674,-82.804,180.0,top
C1,214.884,-90.0684,0.0,top
C10,217.015,-104.902,0.0,top
C11,218.821,-100.203,180.0,top
C2,218.186,-87.2972,270.0,top
C3,212.4228,-84.836,180.0,top
C4,212.725,-83.34,90.0,top
C5,207.645,-83.058,90.0,top
C6,212.9028,-89.1768,270.0,top
C7,202.7962,-77.461,180.0,top
C8,204.216,-96.7258,90.0,top
C9,209.6008,-96.238,270.0,top
D1,173.985,-82.552,0.0,top
D2,166.238,-82.552,0.0,top
D3,158.491,-82.55,0.0,top
D4,199.94975,-85.979,0.0,top
H1,218.186,-78.994,0.0,top
H2,127.254,-108.966,0.0,top
H3,127.254,-78.994,0.0,top
H4,218.186,-108.966,0.0,top
J1,209.096,-78.959,180.0,top
J2,213.8934,-96.4946,0.0,top
J3,208.9105,-104.444,90.0,top
J4,191.77,-108.712,90.0,top
M1,197.734,-103.124,90.0,top
R1,210.0072,-83.058,270.0,top
R2,162.306,-83.06,90.0,top
R3,217.932,-90.17,0.0,top
R4,170.053,-83.062,90.0,top
R5,177.673,-83.062,90.0,top
R6,208.8388,-83.06,270.0,top
R7,202.61675,-85.979,180.0,top
R8,196.469,-85.6,270.0,top
R9,216.281,-99.568,90.0,top
RV1,189.992,-93.853,0.0,top
RV2,189.992,-101.727,0.0,top
SW1,173.736,-96.589,0.0,top
SW2,154.686,-96.589,0.0,top
SW3,135.636,-96.589,0.0,top
SW4,215.6714,-92.5068,180.0,top
SW5,197.993,-94.234,180.0,top
SW6,194.183,-82.55,90.0,top
U1,208.239,-89.7975,90.0,top
U2,215.519,-87.757,0.0,top
U3,215.519,-83.82,180.0,top
U4,200.572,-80.831,0.0,top
U6,217.678,-102.55,180.0,top
Y1,206.926,-96.354,180.0,top
